商品ｺｰﾄﾞ,商品名,商品名索引,単位,上代単価
110119,EXﾊﾞﾙﾌﾞｽﾄｯﾊﾟｰ,ﾊﾞﾙﾌﾞｽ,個,0
110120,"ｶﾞﾝ本体一式(ｽｲｯﾁ,ﾊﾞﾙﾌﾞ付)",ｶﾞﾝ,ｾｯﾄ,0
110121,EX広角ﾉｽﾞﾙﾍｯﾄﾞ,ｺｳｶｸ,個,2700
110123,ﾆｭｰﾀﾞｲﾔ用ｽｲｯﾁ,ｽｲｯﾁ,個,0
110124,BL用　ｻｸｼｮﾝﾎｰｽ一式,ｻｸｼｮﾝﾎ,ｾｯﾄ,1500
110125,EXﾉｽﾞﾙEﾘﾝｸﾞ,ｲｰﾘﾝｸﾞ,個,0
110126,ﾐﾆﾁｭｱｼﾘﾝﾀﾞ-　(ﾏｼﾞｶ),ﾐﾆﾁｭｱ,個,0
110127,KIｽｲｯﾁ押しﾎﾞﾀﾝ,ｵｼﾎﾞﾀﾝ,個,700
110128,KIＷﾎ-ｽ一式,Wﾎｰｽ,ｾｯﾄ,0
110131,ｻﾝｱ-ﾙ用ﾎﾟﾝﾌﾟ一式,ｻﾝｱ-ﾙﾎ,ｾｯﾄ,0
110132,ｼｮｯｸ止金具,ｼｮｯｸﾄﾒ,個,0
110133,ｵｰﾘﾝｸﾞ(7.6X1.2),ｵｰﾘﾝｸﾞ,個,0
110134,ﾉｽﾞﾙﾍｯﾄﾞ(ﾏｼﾞｶ),ﾉｽﾞﾙﾍｯ,個,0
110135,ﾌﾟﾗﾝｼﾞｬｰﾒﾀﾙ,ﾌﾟﾗﾝｼﾞ,個,0
110136,KIﾉｽﾞﾙﾈｼﾞｶﾗｰ,ﾉｽﾞﾙ,個,0
110137,牛若ｶﾞﾝｶﾊﾞ-(黒),ｳｼﾜｶｶﾞ,ｾｯﾄ,0
110138,EXﾘｰﾄﾞｺﾞﾑ　→ｺｰﾄﾞﾌﾞｯｼｭ,ﾘｰﾄﾞ,個,0
110139,F.Cﾁｭｰﾌﾞ,ｴﾌｼｰﾁｭ,本,0
110140,KI用ﾎﾞﾄﾙ,ﾎﾞﾄﾙ,個,900
110141,LSVﾎ-ｽ一式(ｽｰﾊﾟｰﾌﾛﾝ仕様),LSVﾎｰｽ,ｾｯﾄ,0
110142,ｼｮｯｸ止ｺﾞﾑ(ﾊﾞｲﾄﾝ仕様),ｼｮｯｸﾄﾒ,個,720
110144,EX-B型ｻｸｼｮﾝﾎ-ｽ一式(ﾊﾞｲﾄﾝ仕様),ｻｸｼｮﾝ,ｾｯﾄ,0
110145,ﾘｰﾄﾞ線,ﾘｰﾄﾞ,本,0
110146,EXﾌｸﾛﾅｯﾄ(ﾉｽﾞﾙ用),ﾌｸﾛﾅｯﾄ,個,0
110147,ｼﾐﾇｷｸﾝ用ﾉｽﾞﾙ一式,ﾉｽﾞﾙ,ｾｯﾄ,0
110148,牛若ｶﾞﾝ用ﾎ-ｽ一式,ｳｼﾜｶｶﾞ,ｾｯﾄ,0
110149,ｼﾐﾇｷｸﾝ用ﾎｰｽ一式,ﾎｰｽ,ｾｯﾄ,0
110150,ｳﾚﾀﾝﾎ-ｽ(2.5ﾊﾟｲX4),ｳﾚﾀﾝﾎｰ,M,0
110151,ｳﾚﾀﾝﾎｰｽ(5*7),ｳﾚﾀﾝﾎｰ,M,0
110152,EXｵｰﾘﾝｸﾞ（P-8）,ｵｰﾘﾝｸﾞ,個,0
110153,ﾄﾞﾚﾝﾎｰｽ(ﾄﾞﾚﾝﾎﾞﾄﾙ用),ﾄﾞﾚﾝﾎﾞ,本,0
110154,ﾄﾞﾚﾝｷｬｯﾌﾟﾉﾐ,ﾄﾞﾚﾝｷｬ,個,200
110155,4Lﾎﾟﾘ容器(角),ﾎﾟﾘﾖｳｷ,個,0
110156,EXｻｸｼｮﾝﾎｰｽ,ｻｸｼｮﾝﾎ,本,200
110157,RS用ｸﾗﾝｸ軸,ｸﾗﾝｸ,個,0
110158,ｼﾐﾇｷｸﾝ用ﾎｰｽﾉﾐ,ﾎｰｽ,本,0
110159,牛若ｶﾞﾝ用ﾄﾞﾚﾝﾎﾞﾄﾙ一式,ｳｼﾜｶｶﾞ,ｾｯﾄ,0
110160,透明ﾊﾞｲﾄﾝﾎ-ｽ(3*5ﾊﾟｲ),ﾊﾞｲﾄﾝﾎ,M,0
110161,ﾕﾆｽｰﾊﾟｰ用ﾎﾞﾄﾙ,ﾎﾞﾄﾙ,個,0
110162,牛若ｶﾞﾝ用Wﾎｰｽ,ｳｼﾜｶｶﾞ,本,3600
110163,袋ﾅｯﾄ,ﾌｸﾛﾅｯﾄ,個,0
110164,ｽﾎﾟｯﾄｶﾞﾝ,ｽﾎﾟｯﾄ,台,0
110165,KIﾏｸﾞﾈｯﾄ,ﾏｸﾞﾈｯﾄ,ｾｯﾄ,6000
110166,ﾊﾞﾙﾌﾞﾜｯｼｬｰ,ﾊﾞﾙﾌﾞﾜ,個,0
110167,ﾄﾞﾚﾝﾎﾞﾄﾙ(ｼﾐﾇｷｸﾝ用),ﾄﾞﾚﾝﾎﾞ,個,400
110168,ｼﾐﾇｷｸﾝ用ﾊﾞｲﾄﾝﾎｰｽ*2M,ﾎｰｽﾊﾞｲ,本,0
110169,ﾀﾞｲﾔ用ﾎﾞﾄﾙ,ﾎﾞﾄﾙ,個,0
110171,EX－Wﾎ-ｽ一式(ﾊﾞｲﾄﾝ仕様),Wﾎｰｽ,ｾｯﾄ,0
110172,EXｽｲｯﾁ(BL用),ｽｲｯﾁ,個,1600
110173,ｽｲｯﾁ金具一式,ｽｲｯﾁｶﾅ,ｾｯﾄ,0
